Date,Open,High,Low,Close,Adj Close,Volume
3/11/2013,34.200001,34.75,34,34.349998,32.204651,37379155
3/12/2013,34.799999,34.799999,34.150002,34.200001,32.06403,23618156
3/13/2013,34.599998,34.599998,33.5,33.900002,31.782766,31644955
3/14/2013,34.049999,34.049999,33.549999,34,31.87652,21286152
3/15/2013,34.5,34.849998,34.099998,34.5,32.345291,44707880
3/18/2013,34,34,33.150002,33.349998,31.267117,38221257
3/19/2013,33,33.700001,33,33.400002,31.313992,23379723
3/20/2013,33.349998,33.700001,33.150002,33.400002,31.313992,29902831
3/21/2013,33.650002,33.849998,33.400002,33.700001,31.595255,23932073
3/22/2013,34,34.200001,33.549999,33.650002,31.548384,23245938
3/25/2013,34.450001,34.450001,33.799999,33.849998,31.735889,15159856
3/26/2013,33.950001,33.950001,33.25,33.700001,31.595255,28163395
3/27/2013,33.799999,34.25,33.5,34.099998,31.970272,22269630
3/28/2013,34.049999,34.049999,33.549999,34,31.87652,19269207
4/2/2013,34,34.200001,33.5,34.150002,32.017151,29910750
4/3/2013,34.799999,34.799999,34.049999,34.400002,32.251537,20416665
4/5/2013,34.400002,34.400002,32.599998,32.950001,30.892099,55993793
4/8/2013,32.900002,32.900002,32.400002,32.700001,30.657717,31312405
4/9/2013,32.799999,33.150002,32.700001,32.75,30.704588,21754184
4/10/2013,32.700001,32.900002,32.5,32.650002,30.610838,26819813
4/11/2013,33.450001,33.549999,32.950001,33.200001,31.126478,36207089
4/12/2013,33.299999,33.5,33.049999,33.200001,31.126478,14960338
4/15/2013,32.950001,33.049999,32.599998,32.700001,30.657717,16486175
4/16/2013,32.200001,32.5,32,32.25,30.235819,32542489
4/17/2013,32.549999,33.049999,32.25,32.400002,30.376448,31097440
4/18/2013,32.650002,32.75,32.200001,32.349998,30.329569,16762552
4/19/2013,32.599998,33.299999,32.349998,33.299999,31.22024,22239280
4/22/2013,33.700001,33.700001,33.150002,33.150002,31.079611,22314084
4/23/2013,33.400002,33.450001,32.650002,33.150002,31.079611,17212592
4/24/2013,33,33.349998,32.75,33.25,31.173365,21532311
4/25/2013,33.400002,33.950001,33.349998,33.799999,31.689013,22146762
4/26/2013,34.299999,34.549999,34.150002,34.25,32.110905,31673050
4/29/2013,34.099998,34.400002,33.900002,34.150002,32.017151,20601043
4/30/2013,34.450001,34.900002,34.25,34.450001,32.298412,32691769
5/2/2013,34.450001,34.849998,34.150002,34.299999,32.15778,18625933
5/3/2013,34.549999,34.700001,34,34.200001,32.06403,15323835
5/6/2013,34.549999,34.849998,34.400002,34.650002,32.485928,13454291
5/7/2013,34.75,35.450001,34.650002,35.400002,33.189087,27382577
5/8/2013,35.75,35.799999,35.450001,35.599998,33.376591,21207118
5/9/2013,36,36,35.150002,35.650002,33.423462,15973920
5/10/2013,35.799999,36,35.299999,36,33.751606,20304342
5/13/2013,36,36,35.349998,35.400002,33.189087,21489850
5/14/2013,35.150002,35.450001,34.799999,35.049999,33.091557,22048296
5/15/2013,35.549999,35.549999,35.049999,35.299999,33.327583,14629288
5/16/2013,35.75,35.799999,35.049999,35.099998,33.138763,16440543
5/20/2013,35.099998,36.5,35.099998,36.450001,34.413334,36653701
5/21/2013,36.299999,36.950001,36,36.099998,34.082886,29106503
5/22/2013,36,36.549999,35.700001,35.900002,33.894062,13132381
5/23/2013,35.5,35.849998,34.5,34.700001,32.761105,30640012
5/24/2013,34.599998,35.099998,34.599998,34.950001,32.997143,12592107
5/27/2013,34.799999,35.200001,34.599998,34.950001,32.997143,13784363
5/28/2013,34.849998,35.5,34.799999,35.25,33.280373,12851710
5/29/2013,35.349998,35.349998,34.5,34.650002,32.713909,20455587
5/30/2013,34.349998,34.75,34.099998,34.450001,32.525078,23591084
5/31/2013,35,35.200001,34.299999,34.549999,32.619492,32386771
6/3/2013,34.549999,35,34.150002,34.349998,32.43066,28431490
6/4/2013,34.099998,34.549999,34.099998,34.349998,32.43066,30049315
6/5/2013,34,34.200001,32.799999,33.200001,31.344925,44296857
6/6/2013,33.099998,33.5,32.799999,32.900002,31.061687,32056007
6/7/2013,33.099998,33.25,32.25,32.700001,30.872864,39607166
6/10/2013,32.549999,33.349998,32.549999,33.099998,31.250509,25423809
6/11/2013,33,33.700001,32.799999,33.200001,31.344925,32019499
6/13/2013,33.200001,33.200001,31.85,32.799999,30.967276,46476621
6/14/2013,33,33.400002,32.650002,33.049999,31.203302,30673897
6/17/2013,33.150002,33.5,32.900002,33.200001,31.344925,24495832
6/18/2013,33.299999,33.299999,32.900002,33.099998,31.250509,20600110
6/19/2013,33.299999,33.299999,32.5,32.799999,30.967276,22386551
6/20/2013,32,32.450001,32,32.099998,30.306389,41591623
6/21/2013,31.950001,32.75,31.65,32.5,30.684036,53658159
6/24/2013,32,32.299999,31,31.65,29.881531,37632679
6/25/2013,31.6,31.950001,31.200001,31.85,30.070356,41459689
6/26/2013,32.450001,32.75,31.85,32.349998,30.542418,48497736
6/27/2013,33,33.150002,32.450001,32.650002,30.825661,36583075
6/28/2013,33,33.099998,32.650002,32.849998,31.014477,22965578
